"id","slug","sku","title","category","category_path","short_description","long_description","base_price_usd","base_price_pkr","compare_at_price_pkr","image_1","image_2","stock","is_best_seller","is_new_arrival","tags","care_instructions","shipping_info","review_count","rating","review_status"
"horse-horse-wear-and-protection-turnout-blankets-1","horse-horse-wear-and-protection-turnout-blankets-1","EQM-0001","Heritage Turnout Blankets Edition","Horse","Horse > Horse Wear & Protection > Turnout Blankets","Turnout Blankets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish.","Turnout Blankets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish. This product is designed for consistent performance and professional presentation.","79","22120","24332","/place holder/1.webp","/place holder/2.webp","35","true","false","turnout-blankets|horse","","","0","0","pending_feature"
"horse-horse-wear-and-protection-turnout-blankets-2","horse-horse-wear-and-protection-turnout-blankets-2","EQM-0002","Performance Turnout Blankets Series","Horse","Horse > Horse Wear & Protection > Turnout Blankets","Turnout Blankets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish.","Turnout Blankets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish. This product is designed for consistent performance and professional presentation.","139","38920","42812","/place holder/1.webp","/place holder/2.webp","45","false","false","turnout-blankets|horse","","","0","0","pending_feature"
"horse-horse-wear-and-protection-turnout-blankets-3","horse-horse-wear-and-protection-turnout-blankets-3","EQM-0003","Premier Turnout Blankets Collection","Horse","Horse > Horse Wear & Protection > Turnout Blankets","Turnout Blankets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish.","Turnout Blankets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish. This product is designed for consistent performance and professional presentation.","199","55720","61292","/place holder/1.webp","/place holder/2.webp","55","false","true","turnout-blankets|horse","","","0","0","pending_feature"
"horse-horse-wear-and-protection-stable-blankets-1","horse-horse-wear-and-protection-stable-blankets-1","EQM-0004","Heritage Stable Blankets Edition","Horse","Horse > Horse Wear & Protection > Stable Blankets","Stable Blankets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish.","Stable Blankets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish. This product is designed for consistent performance and professional presentation.","79","22120","24332","/place holder/1.webp","/place holder/2.webp","35","true","false","stable-blankets|horse","","","0","0","pending_feature"
"horse-horse-wear-and-protection-stable-blankets-2","horse-horse-wear-and-protection-stable-blankets-2","EQM-0005","Performance Stable Blankets Series","Horse","Horse > Horse Wear & Protection > Stable Blankets","Stable Blankets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish.","Stable Blankets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish. This product is designed for consistent performance and professional presentation.","139","38920","42812","/place holder/1.webp","/place holder/2.webp","45","false","false","stable-blankets|horse","","","0","0","pending_feature"
"horse-horse-wear-and-protection-stable-blankets-3","horse-horse-wear-and-protection-stable-blankets-3","EQM-0006","Premier Stable Blankets Collection","Horse","Horse > Horse Wear & Protection > Stable Blankets","Stable Blankets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish.","Stable Blankets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish. This product is designed for consistent performance and professional presentation.","199","55720","61292","/place holder/1.webp","/place holder/2.webp","55","false","true","stable-blankets|horse","","","0","0","pending_feature"
"horse-horse-wear-and-protection-coolers-1","horse-horse-wear-and-protection-coolers-1","EQM-0007","Heritage Coolers Edition","Horse","Horse > Horse Wear & Protection > Coolers","Coolers engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish.","Coolers engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish. This product is designed for consistent performance and professional presentation.","29","8120","8932","/place holder/1.webp","/place holder/2.webp","35","true","false","coolers|horse","","","0","0","pending_feature"
"horse-horse-wear-and-protection-coolers-2","horse-horse-wear-and-protection-coolers-2","EQM-0008","Performance Coolers Series","Horse","Horse > Horse Wear & Protection > Coolers","Coolers engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish.","Coolers engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish. This product is designed for consistent performance and professional presentation.","74.5","20860","22946","/place holder/1.webp","/place holder/2.webp","45","false","false","coolers|horse","","","0","0","pending_feature"
"horse-horse-wear-and-protection-coolers-3","horse-horse-wear-and-protection-coolers-3","EQM-0009","Premier Coolers Collection","Horse","Horse > Horse Wear & Protection > Coolers","Coolers engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish.","Coolers engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish. This product is designed for consistent performance and professional presentation.","120","33600","36960","/place holder/1.webp","/place holder/2.webp","55","false","true","coolers|horse","","","0","0","pending_feature"
"horse-horse-wear-and-protection-rain-sheets-1","horse-horse-wear-and-protection-rain-sheets-1","EQM-0010","Heritage Rain Sheets Edition","Horse","Horse > Horse Wear & Protection > Rain Sheets","Rain Sheets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish.","Rain Sheets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish. This product is designed for consistent performance and professional presentation.","79","22120","24332","/place holder/1.webp","/place holder/2.webp","35","true","false","rain-sheets|horse","","","0","0","pending_feature"
"horse-horse-wear-and-protection-rain-sheets-2","horse-horse-wear-and-protection-rain-sheets-2","EQM-0011","Performance Rain Sheets Series","Horse","Horse > Horse Wear & Protection > Rain Sheets","Rain Sheets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish.","Rain Sheets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish. This product is designed for consistent performance and professional presentation.","139","38920","42812","/place holder/1.webp","/place holder/2.webp","45","false","false","rain-sheets|horse","","","0","0","pending_feature"
"horse-horse-wear-and-protection-rain-sheets-3","horse-horse-wear-and-protection-rain-sheets-3","EQM-0012","Premier Rain Sheets Collection","Horse","Horse > Horse Wear & Protection > Rain Sheets","Rain Sheets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish.","Rain Sheets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish. This product is designed for consistent performance and professional presentation.","199","55720","61292","/place holder/1.webp","/place holder/2.webp","55","false","true","rain-sheets|horse","","","0","0","pending_feature"
"horse-horse-wear-and-protection-fly-sheets-1","horse-horse-wear-and-protection-fly-sheets-1","EQM-0013","Heritage Fly Sheets Edition","Horse","Horse > Horse Wear & Protection > Fly Sheets","Fly Sheets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish.","Fly Sheets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish. This product is designed for consistent performance and professional presentation.","79","22120","24332","/place holder/1.webp","/place holder/2.webp","35","true","false","fly-sheets|horse","","","0","0","pending_feature"
"horse-horse-wear-and-protection-fly-sheets-2","horse-horse-wear-and-protection-fly-sheets-2","EQM-0014","Performance Fly Sheets Series","Horse","Horse > Horse Wear & Protection > Fly Sheets","Fly Sheets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish.","Fly Sheets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish. This product is designed for consistent performance and professional presentation.","139","38920","42812","/place holder/1.webp","/place holder/2.webp","45","false","false","fly-sheets|horse","","","0","0","pending_feature"
"horse-horse-wear-and-protection-fly-sheets-3","horse-horse-wear-and-protection-fly-sheets-3","EQM-0015","Premier Fly Sheets Collection","Horse","Horse > Horse Wear & Protection > Fly Sheets","Fly Sheets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish.","Fly Sheets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish. This product is designed for consistent performance and professional presentation.","199","55720","61292","/place holder/1.webp","/place holder/2.webp","55","false","true","fly-sheets|horse","","","0","0","pending_feature"
"horse-horse-wear-and-protection-therapy-sheets-1","horse-horse-wear-and-protection-therapy-sheets-1","EQM-0016","Heritage Therapy Sheets Edition","Horse","Horse > Horse Wear & Protection > Therapy Sheets","Therapy Sheets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish.","Therapy Sheets engineered for dependable daily use in horse wear & protection workflows. Built with premium materials to balance durability, comfort, and clean finish. This product is designed for consistent performance and professional presentation.","79","22120","24332","/place holder/1.webp","/place holder/2.webp","35","true","false","therapy-sheets|horse","","","0","0","pending_feature"
